Хатифнариум;2025-07-17;07:00;0
Хатифнариум;2025-07-17;10:00;2
Хатифнариум;2025-07-17;13:00;2
Хатифнариум;2025-07-17;16:00;2
Хатифнариум;2025-07-17;19:00;2
Хатифнариум;2025-07-17;22:00;0
Остров;2025-07-17;07:00;0
Остров;2025-07-17;10:00;1
Остров;2025-07-17;13:00;0
Остров;2025-07-17;16:00;0
Остров;2025-07-17;19:00;0
Остров;2025-07-17;22:00;0
Складмэн;2025-07-17;07:00;0
Складмэн;2025-07-17;10:00;1
Складмэн;2025-07-17;13:00;1
Складмэн;2025-07-17;16:00;1
Складмэн;2025-07-17;19:00;1
Складмэн;2025-07-17;22:00;1
Хозка;2025-07-17;07:00;2
Хозка;2025-07-17;10:00;0
Хозка;2025-07-17;13:00;0
Хозка;2025-07-17;16:00;0
Хозка;2025-07-17;19:00;0
Хозка;2025-07-17;22:00;0
Кормильцы;2025-07-17;07:00;0
Кормильцы;2025-07-17;10:00;1
Кормильцы;2025-07-17;13:00;1
Кормильцы;2025-07-17;16:00;1
Кормильцы;2025-07-17;19:00;1
Кормильцы;2025-07-17;22:00;0
Костровой;2025-07-17;07:00;0
Костровой;2025-07-17;10:00;1
Костровой;2025-07-17;13:00;0
Костровой;2025-07-17;16:00;0
Костровой;2025-07-17;19:00;1
Костровой;2025-07-17;22:00;0
Лотос;2025-07-17;07:00;0
Лотос;2025-07-17;10:00;1
Лотос;2025-07-17;13:00;1
Лотос;2025-07-17;16:00;1
Лотос;2025-07-17;19:00;1
Лотос;2025-07-17;22:00;0
Мобильная бригада;2025-07-17;07:00;0
Мобильная бригада;2025-07-17;10:00;10
Мобильная бригада;2025-07-17;13:00;10
Мобильная бригада;2025-07-17;16:00;10
Мобильная бригада;2025-07-17;19:00;10
Мобильная бригада;2025-07-17;22:00;0
Рейнджеры;2025-07-17;07:00;0
Рейнджеры;2025-07-17;10:00;8
Рейнджеры;2025-07-17;13:00;8
Рейнджеры;2025-07-17;16:00;8
Рейнджеры;2025-07-17;19:00;8
Рейнджеры;2025-07-17;22:00;0
Стоячие;2025-07-17;07:00;0
Стоячие;2025-07-17;10:00;4
Стоячие;2025-07-17;13:00;4
Стоячие;2025-07-17;16:00;4
Стоячие;2025-07-17;19:00;4
Стоячие;2025-07-17;22:00;0
Сортировка;2025-07-17;07:00;4
Сортировка;2025-07-17;10:00;4
Сортировка;2025-07-17;13:00;0
Сортировка;2025-07-17;16:00;4
Сортировка;2025-07-17;19:00;4
Сортировка;2025-07-17;22:00;0
Пресс;2025-07-17;07:00;1
Пресс;2025-07-17;10:00;1
Пресс;2025-07-17;13:00;0
Пресс;2025-07-17;16:00;1
Пресс;2025-07-17;19:00;1
Пресс;2025-07-17;22:00;0
Хатифнариум;2025-07-18;07:00;0
Хатифнариум;2025-07-18;10:00;2
Хатифнариум;2025-07-18;13:00;2
Хатифнариум;2025-07-18;16:00;2
Хатифнариум;2025-07-18;19:00;2
Хатифнариум;2025-07-18;22:00;0
Остров;2025-07-18;07:00;0
Остров;2025-07-18;10:00;1
Остров;2025-07-18;13:00;0
Остров;2025-07-18;16:00;0
Остров;2025-07-18;19:00;0
Остров;2025-07-18;22:00;0
Складмэн;2025-07-18;07:00;0
Складмэн;2025-07-18;10:00;1
Складмэн;2025-07-18;13:00;1
Складмэн;2025-07-18;16:00;1
Складмэн;2025-07-18;19:00;1
Складмэн;2025-07-18;22:00;1
Хозка;2025-07-18;07:00;2
Хозка;2025-07-18;10:00;0
Хозка;2025-07-18;13:00;0
Хозка;2025-07-18;16:00;0
Хозка;2025-07-18;19:00;0
Хозка;2025-07-18;22:00;0
Кормильцы;2025-07-18;07:00;0
Кормильцы;2025-07-18;10:00;1
Кормильцы;2025-07-18;13:00;1
Кормильцы;2025-07-18;16:00;1
Кормильцы;2025-07-18;19:00;1
Кормильцы;2025-07-18;22:00;0
Костровой;2025-07-18;07:00;0
Костровой;2025-07-18;10:00;1
Костровой;2025-07-18;13:00;0
